,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,ペース平均,上がりハロン平均
0,0,2021/06/12,4中京3,曇,5,2歳新馬,,10,6,6,2.7,1,1,川田将雅,54,芝1600,良,-16,1:35.0,0,83,3-2-2,37.2-34.4,34.4,480(0),,,(ベルクレスタ),700.0,1,700.0,700.0,0.0,83.0,0,,,34.4,1.0,16.842105263157894,16.842105263157894,95.0,3.0,2.0,37.2,34.4,-2.8000000000000043,0.0,2.8000000000000043,1.0,2.0,1.0,2.0,1.0,2.0,1.0,8.5,0.8000000000000007,2,35.333333333333336,35.333333333333336
1,1,2021/06/19,3東京5,雨,5,2歳新馬,,16,6,11,1.8,1,1,ルメール,54,芝1600,稍,-15,1:36.8,0.0,71,5-4,37.0-34.1,33.7,474(0),,出遅れ,(プルパレイ),700.0,2,700.0,700.0,0.0,71.0,0,,,33.7,1.0,16.528925619834713,16.528925619834713,96.8,5.0,4.0,37.0,34.1,-3.299999999999997,-0.3999999999999986,2.8999999999999986,3.0,4.0,1.0,4.0,3.0,4.0,1.0,13.5,0.3500000000000014,2,34.93333333333334,34.93333333333334
2,2,2021/07/24,3新潟1,晴,5,2歳新馬,,18,2,3,15.5,5,1,幸英明,54,芝1600,良,-16,1:34.6,0.0,81,1-1,36.0-33.5,33.5,468(0),,,(コリエンテス),700.0,3,700.0,700.0,0.0,81.0,0,,,33.5,1.0,16.913319238900634,16.913319238900634,94.6,1.0,1.0,36.0,33.5,-2.5,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.1999999999999993,2,34.333333333333336,34.333333333333336
3,3,2021/08/07,3新潟5,晴,9,ダリア賞(OP),,8,7,7,2.3,1,2,柴田大知,54,芝1400,良,-12,1:22.0,0.0,94,2-2,36.0-33.9,33.7,434(+4),,,ベルウッドブラボー,645.0,4,1265.0,421.6666666666667,0.06666666666666667,85.0,0,,,34.06666666666666,0.8518518518518519,17.073170731707318,16.953982519200277,82.0,2.0,2.0,36.0,33.9,-2.299999999999997,-0.19999999999999574,2.1000000000000014,0.0,0.0,0.0,4.0,1.6666666666666667,2.0,0.3333333333333333,8.584142356694699,0.3535533905932743,2,34.53333333333333,34.8111111111111
4,4,2021/06/26,3阪神3,曇,1,2歳未勝利,,10,8,9,2.0,1,1,川田将雅,54,芝1600,良,-12,1:35.2,0.0,78,3-3,35.6-35.6,35.4,478(-2),,,(クロニクルノヴァ),510.0,5,790.0,395.0,0.1,69.5,0,,,35.599999999999994,0.9523809523809523,16.80672268907563,16.80672268907563,95.2,3.0,3.0,35.6,35.6,-0.20000000000000284,-0.20000000000000284,0.0,2.0,2.0,0.0,3.0,1.5,1.5,0.0,13.880441875771343,1.2832251036613433,2,35.53333333333333,35.55
5,5,2021/06/20,3東京6,晴,5,2歳新馬,,16,8,15,5.5,2,1,Ｍ．デム,54,芝1400,稍,-14,1:25.7,0.0,57,1-2,39.0-33.6,33.6,424(0),,,(レッツリブオン),700.0,6,700.0,700.0,0.0,57.0,0,,,33.6,1.0,16.33605600933489,16.33605600933489,85.7,1.0,2.0,39.0,33.6,-5.399999999999999,0.0,5.399999999999999,1.0,0.0,-1.0,2.0,1.0,0.0,-1.0,17.0,0.05000000000000071,2,35.4,35.4
6,6,2021/08/07,3新潟5,晴,9,ダリア賞(OP),,8,1,1,3.7,3,3,松若風馬,54,芝1400,良,-12,1:22.2,0.2,89,1-1,36.0-33.9,34.1,482(+4),,,ベルウッドブラボー,402.5,7,1102.5,551.25,0.1,79.5,0,,,34.45,0.9130434782608695,17.0316301703163,16.8293542775572,82.2,1.0,1.0,36.0,33.9,-1.8999999999999986,0.20000000000000284,2.1000000000000014,-2.0,-2.0,0.0,1.0,-1.0,-1.0,0.0,8.524474568362947,0.30912061651652123,2,34.666666666666664,35.08333333333333
7,7,2021/07/04,1福島2,小雨,1,2歳未勝利,,9,2,2,1.9,1,1,三浦皇成,54,芝1800,良,-8,1:51.7,0.0,60,1-1-1-1,37.8-35.9,35.9,514(0),,,(キョウコウトッパ),510.0,8,580.0,290.0,0.35,62.0,0,,,35.0,0.8260869565217391,16.11459265890779,16.2624245345821,111.7,1.0,1.0,37.8,35.9,-1.8999999999999986,0.0,1.8999999999999986,0.0,0.0,0.0,5.0,2.0,1.5,-0.5,11.897712198383164,0.9273618495495702,2,36.53333333333333,35.8
8,8,2021/07/04,1福島2,小雨,5,2歳新馬,,16,7,13,3.6,1,1,丸山元気,54,芝1800,良,-6,1:52.1,0.0,60,2-2-2-2,37.9-36.0,36.0,424(0),,,(ボーンディスウェイ),700.0,9,700.0,700.0,0.0,60.0,0,,,36.0,1.0,16.057091882247995,16.057091882247995,112.1,2.0,2.0,37.9,36.0,-1.8999999999999986,0.0,1.8999999999999986,1.0,1.0,0.0,2.0,1.0,1.0,0.0,12.5,1.1000000000000014,2,36.63333333333333,36.63333333333333
9,9,2021/06/05,4中京1,曇,5,2歳新馬,,12,2,2,30.2,7,1,岩田康誠,54,芝1600,良,-12,1:36.0,0.0,77,11-10-10,36.5-35.3,34.3,496(0),,出遅れ,(ラクスバラディー),700.0,10,700.0,700.0,0.0,77.0,0,,,34.3,1.0,16.666666666666668,16.666666666666668,96.0,11.0,10.0,36.5,35.3,-2.200000000000003,-1.0,1.2000000000000028,9.0,10.0,1.0,10.0,9.0,10.0,1.0,3.5,0.25,2,35.36666666666667,35.36666666666667
